,School,Year,English DAs
0,James Ruse Agricultural High School,2017,115
1,Baulkham Hills High School,2017,123
2,James Ruse Agricultural High School,2017,115
3,Baulkham Hills High School,2017,123
4,North Sydney Boys High School,2017,65
5,Hornsby Girls High School,2017,50
6,North Sydney Girls High School,2017,55
7,Normanhurst Boys High School,2017,46
8,Sydney Boys High School,2017,81
9,Sydney Girls High School,2017,84
10,Girraween High School,2017,36
11,Fort Street High School,2017,53
12,Penrith High School,2017,44
13,Northern Beaches Secondary College Manly Campus,2017,51
14,Hurlstone Agricultural High School,2017,14
15,St George Girls High School,2017,48
16,Sydney Technical High School,2017,35
17,James Ruse Agricultural High School,2018,93
18,Baulkham Hills High School,2018,92
19,North Sydney Boys High School,2018,53
20,Hornsby Girls High School,2018,41
21,North Sydney Girls High School,2018,52
22,Normanhurst Boys High School,2018,30
23,Sydney Boys High School,2018,48
24,Sydney Girls High School,2018,73
25,Girraween High School,2018,24
26,Fort Street High School,2018,51
27,Penrith High School,2018,34
28,Northern Beaches Secondary College Manly Campus,2018,29
29,Hurlstone Agricultural High School,2018,13
30,St George Girls High School,2018,50
31,Sydney Technical High School,2018,30
32,James Ruse Agricultural High School,2019,92
33,Baulkham Hills High School,2019,66
34,North Sydney Boys High School,2019,62
35,Hornsby Girls High School,2019,72
36,North Sydney Girls High School,2019,51
37,Normanhurst Boys High School,2019,40
38,Sydney Boys High School,2019,43
39,Sydney Girls High School,2019,74
40,Girraween High School,2019,19
41,Fort Street High School,2019,41
42,Penrith High School,2019,29
43,Northern Beaches Secondary College Manly Campus,2019,34
44,Hurlstone Agricultural High School,2019,14
45,St George Girls High School,2019,45
46,Sydney Technical High School,2019,19
47,James Ruse Agricultural High School,2020,92
48,Baulkham Hills High School,2020,109
49,North Sydney Boys High School,2020,64
50,Hornsby Girls High School,2020,68
51,North Sydney Girls High School,2020,63
52,Normanhurst Boys High School,2020,46
53,Sydney Boys High School,2020,45
54,Sydney Girls High School,2020,63
55,Girraween High School,2020,29
56,Fort Street High School,2020,37
57,Penrith High School,2020,37
58,Northern Beaches Secondary College Manly Campus,2020,49
59,Hurlstone Agricultural High School,2020,19
60,St George Girls High School,2020,37
61,Sydney Technical High School,2020,25
