,School,English Success Rate,"(7, 'Reading')","(7, 'Writing')","(9, 'Reading')","(9, 'Writing')",Minimum Entry Score
0,James Ruse Agricultural High School,0.5714285714285714,724,647,705,708,230
1,Baulkham Hills High School,0.5265700483091788,669,610,675,660,235
2,North Sydney Boys High School,0.4266666666666667,678,606,682,668,221
3,Hornsby Girls High School,0.544,677,619,680,677,216
4,North Sydney Girls High School,0.4012738853503185,676,629,684,684,219
5,Normanhurst Boys High School,0.38333333333333336,649,588,658,676,214
6,Sydney Boys High School,0.2112676056338028,662,598,671,652,220
7,Sydney Girls High School,0.4012738853503185,684,637,684,673,223
8,Girraween High School,0.20863309352517986,656,605,668,647,210
9,Fort Street High School,0.2356687898089172,669,594,676,654,216
10,Penrith High School,0.2298136645962733,638,601,660,633,199
11,Northern Beaches Secondary College Manly Campus,0.35766423357664234,679,614,688,682,206
12,St George Girls High School,0.22839506172839505,640,586,658,652,202
13,Sydney Technical High School,0.16025641025641027,618,585,651,636,197
