School,English Success Rate,Year 7 NAPLAN Reading,Year 7 NAPLAN Writing,Year 9 NAPLAN Reading,Year 9 NAPLAN Writing,Minimum Entry Score
James Ruse Agricultural High School,0.5714285714285714,724,647,705,708,230
Baulkham Hills High School,0.5265700483091788,669,610,675,660,235
North Sydney Boys High School,0.4266666666666667,678,606,682,668,221
Hornsby Girls High School,0.544,677,619,680,677,216
North Sydney Girls High School,0.4012738853503185,676,629,684,684,219
Normanhurst Boys High School,0.38333333333333336,649,588,658,676,214
Sydney Boys High School,0.2112676056338028,662,598,671,652,220
Sydney Girls High School,0.4012738853503185,684,637,684,673,223
Girraween High School,0.20863309352517986,656,605,668,647,210
Fort Street High School,0.2356687898089172,669,594,676,654,216
Penrith High School,0.2298136645962733,638,601,660,633,199
Northern Beaches Secondary College Manly Campus,0.35766423357664234,679,614,688,682,206
St George Girls High School,0.22839506172839505,640,586,658,652,202
Sydney Technical High School,0.16025641025641027,618,585,651,636,197
